"curso","nivel","leccion","minutos","objetivo","contenido_clave","pregunta","opciones","respuesta_correcta","explicacion"
"Huella de carbono","inicial","De la medicion a la reduccion","12","Convertir el resultado de la huella en un plan con prioridades.","Medir no reduce nada por si solo. Con el resultado en la mano se ordenan las fuentes de mayor a menor y se trabaja sobre las primeras. Para cada medida se estiman tres cosas: cuantas toneladas evita al ano, cuanto cuesta y cuanto ahorra. Varias medidas de eficiencia ahorran dinero y emisiones a la vez: esas van primero. Una meta publica sin plan detras es un riesgo legal y reputacional, asi que la meta y el plan se publican juntos y con los supuestos a la vista. Y el ano siguiente se vuelve a medir con el mismo metodo, para que los numeros sean comparables.","Que medidas conviene priorizar al armar un plan de reduccion?","Las mas visibles para comunicar|Las que actuan sobre las mayores fuentes y ademas ahorran dinero|Las mas baratas aunque no muevan la huella","b","Se parte por donde esta el bulto de las emisiones, priorizando lo que ademas baja costos."
"Cumplimiento ambiental y social en Chile","intermedio","Ley Karin: prevenir, recibir e investigar","15","Saber que exige la Ley 21.643 y que cambia respecto de antes.","La Ley 21.643, conocida como Ley Karin, se publico el 15-01-2024 y entro en vigencia el 01-08-2024. Modifico el Codigo del Trabajo en materia de acoso sexual, acoso laboral y violencia en el trabajo. Su cambio conceptual mas importante: el acoso laboral ya no requiere reiteracion, basta un solo acto. Ademas incorpora la violencia ejercida por terceros ajenos a la relacion laboral, como clientes, proveedores o usuarios. Toda empresa debe tener un protocolo de prevencion y canales de denuncia conocidos. Recibida una denuncia corren plazos que no admiten espera: hay que actuar de inmediato.","Segun la Ley 21.643, cuantas veces debe repetirse una conducta para ser acoso laboral?","Al menos tres veces|Basta un solo acto|Debe mantenerse durante un mes","b","La ley elimino el requisito de reiteracion: un solo acto puede constituir acoso laboral."
"Cumplimiento ambiental y social en Chile","intermedio","Los plazos de una denuncia Ley Karin","12","Ordenar la cadena de plazos del procedimiento en el sector privado.","La cadena de plazos del procedimiento privado es: medidas de resguardo de forma inmediata; 3 dias habiles para informar a la Direccion del Trabajo el inicio de la investigacion interna o derivarle la denuncia; 30 dias habiles para concluir la investigacion; 2 dias habiles para remitir el informe a la Direccion del Trabajo; 30 dias habiles para su pronunciamiento; y 15 dias corridos para aplicar las medidas o sanciones. El reglamento, Decreto Supremo N 21 de 2024 del Ministerio del Trabajo, precisa que los plazos son de dias habiles y que son inhabiles los sabados, domingos y festivos. La unica excepcion son esos 15 dias, que son corridos.","Cual de estos plazos de la Ley Karin se cuenta en dias corridos y no en habiles?","Los 3 dias para informar a la Direccion del Trabajo|Los 30 dias de la investigacion|Los 15 dias para aplicar medidas o sanciones","c","El articulo 19 del DS 21 dice expresamente quince dias corridos; los demas plazos del procedimiento son habiles."
"Cumplimiento ambiental y social en Chile","intermedio","Ley REP: quien es productor","15","Determinar si la empresa es productor de un producto prioritario.","La Ley 20.920, publicada el 01-06-2016, instala en Chile la Responsabilidad Extendida del Productor sobre seis productos prioritarios: aceites lubricantes, aparatos electricos y electronicos, baterias, envases y embalajes, neumaticos y pilas. La definicion de productor incluye al importador, asi que una empresa que importa producto envasado puede ser productor aunque no fabrique nada. El productor debe inscribirse en el registro, cumplir metas a traves de un sistema de gestion individual o colectivo y declarar todos los anos. Fiscaliza la Superintendencia del Medio Ambiente. A septiembre de 2026 hay cuatro decretos de metas publicados: neumaticos, envases y embalajes, aceites lubricantes, y pilas y aparatos electricos y electronicos.","Una empresa importa alimentos envasados y los vende en Chile. Puede ser productor para la Ley REP?","No, porque no fabrica los envases|Si: la definicion de productor incluye al importador|Solo si tiene mas de cien trabajadores","b","Quien introduce el envase al mercado nacional responde por el, aunque el envase venga de fuera."
"Cumplimiento ambiental y social en Chile","intermedio","RETC y la declaracion anual","12","Saber donde y cuando se declaran los datos ambientales en Chile.","El Registro de Emisiones y Transferencias de Contaminantes (RETC), regulado por el Decreto Supremo N 1 de 2013 del Ministerio del Medio Ambiente, centraliza las declaraciones ambientales en la Ventanilla Unica del ministerio. Ahi conviven varios sistemas sectoriales: residuos, emisiones de fuentes fijas, residuos peligrosos y otros. La fecha transversal que conviene tener en el calendario es la Declaracion Jurada Anual, que se presenta entre el 1 y el 31 de octubre de cada ano. Preparar esa declaracion en octubre con datos que nadie reunio durante el ano es la causa mas comun de errores evitables.","En que periodo del ano se presenta la Declaracion Jurada Anual del RETC?","Entre el 1 y el 31 de octubre|En abril, junto con la renta|Durante enero","a","La declaracion se presenta entre el 1 y el 31 de octubre; los datos hay que ir reuniendolos durante el ano."
"Cumplimiento ambiental y social en Chile","intermedio","Clima: Ley 21.455, HuellaChile e impuesto verde","15","Distinguir lo obligatorio de lo voluntario en materia climatica en Chile.","La Ley 21.455, Ley Marco de Cambio Climatico, se publico el 13-06-2022 y fija la meta pais de neutralidad de emisiones a mas tardar el ano 2050. Es sobre todo una ley de arquitectura institucional: no impone a las empresas privadas una obligacion general y directa de reportar su huella. Alcanza al sector privado por la via de normas de emision sectoriales que se dictan por decreto supremo, asi que hay que revisar sector por sector. HuellaChile, del Ministerio del Medio Ambiente, es un programa voluntario con sellos progresivos: cuantificacion, reduccion, neutralizacion y excelencia. El impuesto verde si es obligatorio: grava a los establecimientos que emiten 100 o mas toneladas anuales de material particulado o 25.000 o mas toneladas anuales de CO2, con una tasa de 5 dolares por tonelada de CO2 que se paga en abril del ano siguiente.","Que afirmacion es correcta sobre HuellaChile?","Es obligatorio para toda empresa mediana o grande|Es un programa voluntario del Ministerio del Medio Ambiente con sellos progresivos|Reemplaza la declaracion del RETC","b","HuellaChile es voluntario: ordena el trabajo y da reconocimiento, pero no sustituye ninguna declaracion obligatoria."
"Cumplimiento ambiental y social en Chile","intermedio","Datos personales: Ley 21.719","12","Cuidar los datos de personas al trabajar temas ESG.","La Ley 21.719 regula la proteccion y el tratamiento de los datos personales y crea la Agencia de Proteccion de Datos Personales. Se publico el 13-12-2024 y entra en vigencia el primer dia del mes 24 posterior a esa publicacion. Sus principios incluyen finalidad (recoger datos solo para un fin explicito), proporcionalidad (solo los datos necesarios y por el tiempo necesario), seguridad y confidencialidad. Esto toca de lleno el trabajo ESG: las metricas sociales, las denuncias laborales y los datos de contacto de proveedores y clientes son datos personales. Una disposicion transitoria permite que durante los primeros 12 meses de vigencia las empresas de menor tamano reciban amonestacion escrita en lugar de sancion.","Que principio de la Ley 21.719 impide guardar datos de una persona por si acaso sirven mas adelante?","La finalidad y la proporcionalidad|La publicidad de los actos|La gratuidad de la informacion","a","Los datos se recogen para un fin explicito y se conservan solo el tiempo necesario para cumplirlo."
"Reportes y comunicacion responsable","intermedio","Para que sirve un reporte de sostenibilidad","10","Identificar al destinatario del reporte antes de escribirlo.","Un reporte de sostenibilidad no es un folleto: es la rendicion de cuentas de la empresa sobre temas que afectan a terceros y a su propio negocio. Antes de escribir una linea hay que responder para quien es: un cliente que evalua proveedores, un banco, una autoridad o la comunidad. El destinatario define el marco, el nivel de detalle y hasta el lenguaje. Un reporte util dice lo que se logro, lo que no se logro y que se hara al respecto. Un reporte que solo muestra logros pierde credibilidad apenas alguien revisa los numeros.","Que es lo primero que hay que definir antes de armar un reporte?","El diseno y los colores|Quien lo va a leer y para que decision lo usara|Cuantas paginas tendra","b","El destinatario define el marco, el detalle y el tono. Sin eso el reporte se escribe dos veces."
"Reportes y comunicacion responsable","intermedio","Los marcos de reporte en una pagina","15","Elegir el marco que corresponde segun quien pide la informacion.","GRI es el marco mas usado para reportes publicos y mira los impactos de la empresa hacia afuera. Las NIIF S1 y S2, del ISSB, se enfocan en la informacion financiera relacionada con sostenibilidad y clima, es decir en como los temas ESG afectan el valor de la empresa. En la Union Europea, la CSRD y sus estandares ESRS exigen doble materialidad a las empresas alcanzadas, y existe ademas la norma voluntaria VSME, pensada para que una pyme responda las solicitudes de sus clientes sin el peso completo de la CSRD. En Chile, la Comision para el Mercado Financiero exige contenidos de sostenibilidad en la memoria anual de las entidades que supervisa. No se trata de elegir uno solo: se trata de saber quien pregunta.","Un cliente europeo pide datos de sostenibilidad a una pyme proveedora en Chile. Que norma esta pensada para ese caso?","El estandar sectorial de mineria de GRI|La norma voluntaria VSME|El reglamento de la taxonomia","b","VSME es la norma voluntaria europea pensada para que una pyme responda solicitudes de su cadena de valor."
"Reportes y comunicacion responsable","intermedio","Evidencia: dejar el rastro del dato","12","Preparar los respaldos para que un tercero pueda verificar el dato.","Un numero sin respaldo no sirve ante una auditoria ni ante un cliente exigente. Por cada dato relevante conviene guardar el documento de origen (boleta, factura, registro del medidor, planilla exportada), quien lo entrego, cuando, y que supuesto se uso si hubo estimacion. La carpeta de la empresa debe permitir reconstruir el camino completo: del numero del reporte al archivo que lo respalda. Tambien ayuda registrar la huella digital del archivo para poder demostrar despues que no cambio. Eso no reemplaza una firma electronica avanzada ni un sellado de tiempo acreditado, y conviene decirlo asi.","Que hace que un dato sea auditable?","Que este en una planilla ordenada|Que se pueda rastrear hasta su documento de origen, con fecha y responsable|Que lo haya calculado alguien con experiencia","b","Auditable significa que un tercero puede recorrer el camino desde el numero publicado hasta el documento que lo respalda."
"Reportes y comunicacion responsable","intermedio","Greenwashing: que no se puede decir","15","Revisar una afirmacion ambiental antes de publicarla.","Greenwashing es afirmar un beneficio ambiental que no se puede sostener. En Chile ya se sanciona hoy: la Ley 19.496, sobre proteccion de los derechos de los consumidores, castiga la publicidad falsa o enganosa con multas de hasta 1.500 UTM, que suben hasta 2.250 UTM cuando la publicidad incide sobre la salud, la seguridad o el medio ambiente. Una lista de chequeo simple y reconocida es el Green Claims Code de la autoridad de competencia britanica: la afirmacion debe ser veraz y exacta, clara y no ambigua, no omitir informacion importante, comparar de forma justa, considerar el ciclo de vida completo y estar fundamentada con evidencia. La pregunta antes de publicar es siempre la misma: que evidencia respalda esto y donde esta.","Una empresa quiere poner producto ecologico en su etiqueta, sin mas explicacion. Que problema tiene?","Ninguno, es una expresion habitual|Es una afirmacion vaga y sin fundamento, y en Chile puede sancionarse como publicidad enganosa|Solo seria problema en la Union Europea","b","Una afirmacion ambiental vaga y sin evidencia cae en publicidad falsa o enganosa, con el tramo agravado por incidir sobre el medio ambiente."
"Reportes y comunicacion responsable","intermedio","Comunicar avances y tropiezos","10","Redactar un mensaje ESG que resista preguntas.","Comunicar bien no es comunicar mucho. Tres reglas practicas. Primera: cada cifra publicada indica el periodo, que alcanza lo medido y con que metodo, en una linea. Segunda: cuando una meta no se cumple, se dice, se explica por que y se indica que cambia; ocultar un tropiezo sale mas caro que reconocerlo. Tercera: se evita el lenguaje absoluto, como cero impacto o totalmente sustentable, salvo que exista evidencia verificada que lo sostenga. Buena prueba antes de publicar: si un periodista o un cliente pide el respaldo de esta frase, lo tengo a mano y lo entiende alguien de afuera?","La empresa no cumplio su meta de reduccion del ano. Que conviene hacer al comunicar?","No mencionarla y destacar otros logros|Informar que no se cumplio, explicar por que y que se ajusta|Cambiar la meta hacia atras para que calce","b","Reconocer el incumplimiento con su causa y el ajuste sostiene la credibilidad; ocultarlo o mover la meta la destruye."
